16	16
9	4

2
2	7	1
3	1	1

5
3	3
14	1
7	8
13	14
14	8

21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23
19	1	1	1	1	1	1	1	1	1	1	1	25	1	1	20
19	1	25	25	25	1	25	1	25	25	1	25	25	25	1	20
19	1	1	1	1	1	25	1	1	1	1	1	1	1	1	20
19	1	25	25	25	1	25	25	25	1	25	25	1	25	1	20
19	1	1	1	1	1	1	1	25	1	1	1	1	25	1	20
19	1	25	25	1	25	25	1	25	25	1	25	1	25	25	20
19	1	1	25	1	25	25	1	1	1	1	25	1	1	25	20
19	25	1	25	1	25	25	1	25	25	25	25	1	25	25	20
19	1	1	1	1	1	1	1	1	1	1	1	1	1	25	20
19	25	1	25	1	25	25	25	25	1	25	1	25	25	25	20
19	25	1	25	1	1	1	1	1	1	1	1	1	1	1	20
19	1	1	1	1	25	1	25	1	25	25	25	25	25	1	20
19	1	25	25	1	25	1	25	1	1	1	25	1	1	1	20
19	1	1	1	1	1	1	1	1	1	1	25	1	25	1	20
16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	18
