16	16
1	1

2
3	7	1
3	4	1

9
1	1
11	7
1	13
5	3
5	7
5	11
7	1
13	13
13	9

21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23
19	1	1	1	1	1	25	1	1	1	1	1	1	1	1	20
19	1	25	25	25	1	25	25	25	1	25	25	25	1	25	20
19	1	1	25	1	1	1	1	1	1	1	1	1	1	1	20
19	25	1	25	1	25	25	1	25	25	1	25	25	1	25	20
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20
19	1	25	1	25	25	1	25	25	1	25	1	25	25	25	20
19	1	25	1	25	1	1	1	1	1	25	25	25	1	1	20
19	1	25	1	25	1	25	1	25	1	25	1	1	1	25	20
19	1	25	1	1	1	25	1	1	1	1	1	25	1	25	20
19	1	25	1	25	25	22	1	25	1	25	25	25	1	25	20
19	1	1	1	1	1	1	1	1	1	25	1	1	1	1	20
19	25	25	25	25	1	25	1	25	1	25	1	25	1	25	20
19	1	1	1	25	1	1	1	1	1	1	1	1	1	1	20
19	1	25	1	1	1	25	1	25	1	25	1	25	25	25	20
16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	18
